Tipo: ENVIO | Node: RSU_100012 | MsgID: 5512 | Tempo: 21605.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_59 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_60 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_61 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_62 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_63 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_65 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_69 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_70 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_72 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_73 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_75 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_76 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_3 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_4 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_6 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_7 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_8 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_9 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_12 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_13 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.979015 | PDR: 1.000000 | LatencyScore: 0.999439 | DQScore: 0.989367 | Node: Vehicle_15 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_16 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_17 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_20 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_21 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_23 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_24 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_25 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_27 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_28 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_29 | MsgID: -1 | Tempo: 21785.1
Tipo: DATA_QUALITY | Round: 3 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_30 | MsgID: -1 | Tempo: 21785.1
